	Log2.Ratio.H.L.normalized.SNA.vs.Sham_Rep1	Log2.Ratio.H.L.normalized.SNA.vs.Sham_Rep2	Log2.Ratio.H.L.normalized.SNA.vs.Sham_Rep3	Log2.Ratio.H.L.normalized.DCA vs Lam_Rep1	Log2.Ratio.H.L.normalized.DCA vs Lam_Rep2	Log2.Ratio.H.L.normalized.DCA vs Lam_Rep3	Log2.Ratio.H.L.normalized.Central.vs.Peripheral_Rep1	Log2.Ratio.H.L.normalized.Central.vs.Peripheral_Rep2	Log2.Ratio.H.L.normalized.Central.vs.Peripheral_Rep3
Ppp6r3	0.19496955	0.358508792	0.286999397	NA	NA	NA	NA	NA	-2.37452376
Fibp	-0.052446047	NA	NA	NA	NA	NA	NA	1.042574302	NA
4930533O14Rik	0.225768496	-0.012242571	-0.329739759	NA	0.044743821	0.958582874	-1.105907889	-0.978633987	-0.945887815
Drap1	NA	NA	NA	NA	NA	NA	NA	1.905235356	NA
Rela	0.375956902	NA	-0.026410765	NA	NA	NA	NA	-3.141143704	-2.270277575
Scyl1	-0.707406697	NA	NA	NA	0.036186803	0.176705738	NA	NA	NA
Capn1	-0.334352551	-0.810662482	-0.88806061	NA	-0.084976336	0.99566541	-1.66447101	-1.053972883	-0.848712661
Arl2	0.101784524	-0.011704325	-0.389375523	-0.227286641	-0.306501891	0.005759269	-1.522716424	-0.74613172	-0.8342874
Map4k2	NA	NA	NA	NA	0.184089827	-0.09370969	NA	NA	NA
Prdx5	-0.047696257	-0.37840054	-0.586210972	0.118093889	-0.026307914	-0.134271182	-1.813753014	-1.317894194	-1.843266859
Plcb3	-0.577465572	-0.390774564	0.392537245	NA	0.157819839	0.347665656	-0.66004171	-0.760993085	-0.55351084
Stip1	-0.075003223	2.034849573	-0.131818978	-0.08805537	0.054362288	-0.149344574	1.296545508	0.784671485	-3.889866644
Pla2g16	-0.435573051	-0.102170997	-0.192068115	-0.309037667	-0.272837568	0.140647793	-1.048233185	-0.732188573	-0.337976843
Smc3	-0.953103883	-0.320197899	0.634500338	0.526870086	-0.083706809	0.004753055	1.071488106	0.747774072	0.427069755
Pdcd4	NA	NA	NA	NA	NA	NA	NA	-1.305610073	NA
Shoc2	NA	0.714926858	0.392427338	NA	0.13920752	0.041242982	NA	2.390447578	NA
Rbp4	NA	-0.622087775	NA	NA	NA	NA	NA	NA	NA
Eif3a	-0.745889758	-0.819521108	-0.669372765	NA	-0.00433459	0.416407409	-0.305788392	-0.467214272	-0.526265032
Fam45a	0.205017088	0.237563718	0.033088169	-0.270921499	0.210762894	0.16079114	NA	-1.207061378	NA
Prdx3	0.110764122	0.900567372	NA	-0.342927124	0.311386858	0.201131967	1.708672836	2.54934881	1.84265708
Smndc1	NA	NA	NA	-0.045014612	-0.183883662	-0.437193432	-0.343695849	1.002090393	0.10259095
Arl3	0.011066201	-0.273238522	-0.383924658	-0.06996668	-0.028704772	0.133826527	-1.163074065	-1.102372326	-1.088592192
Gk	-0.499850621	NA	-0.536524017	NA	NA	NA	NA	-1.5121844	-1.506229714
Slk	0.314986485	0.120484657	-0.32993922	NA	0.331017236	NA	NA	-0.898887842	-0.575400338
Gsto1	0.395282204	0.357608304	-0.175272873	-0.137758903	0.130535557	0.655168618	-1.847154619	-2.192908909	-2.334607229
Casp7	0.171334947	NA	NA	NA	NA	NA	NA	NA	NA
Hdgfrp3	-0.235942651	1.303926836	0.568907674	0.260146127	0.221567789	0.402285592	2.889493012	0.578600636	0.638398262
P4hb	0.22527493	0.387913924	0.51752767	-0.066215883	0.240008965	0.623211368	0.592923408	0.765619608	0.749834574
Alyref	-0.848504825	0.320542442	0.149389449	0.064469017	-1.532574431	-0.914412183	1.543743323	0.897782545	0.64099104
Pcyt2	-0.0336286	0.126972856	-0.213186205	-0.210212333	-0.316528107	0.045442971	-2.49842328	4.103413711	-0.331027677
Aspscr1	NA	-1.149536592	NA	NA	NA	NA	NA	NA	-1.13637866
Maged1	-0.325955223	0.324580215	-0.419468562	NA	-0.056371179	0.107152199	NA	1.102322191	1.331533252
Dcxr	-0.405489668	0.263875733	-0.63428507	NA	NA	0.474462002	-2.155662558	-2.10364289	-2.375796143
Cbr2	-0.951624295	NA	NA	NA	NA	NA	NA	NA	NA
Wdr45b	NA	NA	NA	NA	NA	-0.470428892	NA	NA	NA
Fn3k	NA	-0.238595571	NA	-0.237880843	0.156008221	-0.150721267	NA	5.273926112	1.343350966
Got1	1.956502778	0.093560176	-0.197682686	-0.599833722	-0.595249437	-0.146100137	-0.96784272	-0.363159644	-0.195136908
Cutc	NA	NA	NA	NA	NA	NA	NA	NA	-3.14012584
Sema4g	NA	NA	NA	NA	NA	0.179001399	NA	NA	NA
Mgea5	0.308593869	0.364460374	-0.047114811	NA	0.476640909	0.372729271	NA	0.779469857	2.160984708
Fbxl15	0.143132156	0.171463056	NA	NA	0.320080262	0.164657575	-1.172050935	-0.300750441	-1.483258644
Hexa	0.160920188	0.589763487	0.720015735	-0.439558939	-0.170929828	0.262793937	1.117562069	1.054917919	1.219091058
Limd1	NA	NA	-0.057917195	NA	NA	NA	NA	NA	NA
Sacm1l	NA	NA	NA	NA	0.310107409	0.1264443	NA	NA	0.800661803
Lztfl1	0.136322654	0.386259141	-0.04071948	-0.464862755	-0.035416537	0.087327052	-2.342853934	0.548140657	1.850559421
Hsd17b10	-0.297058821	0.737167557	0.784168921	0.415542354	0.739502506	-0.222212096	2.376457095	4.612470458	4.281104732
Huwe1	0.271903706	0.022758398	-0.261327265	NA	-0.349566288	0.170950553	-0.918551288	-0.396859135	0.026587622
Tsr2	NA	NA	NA	NA	NA	NA	NA	NA	NA
Prdx4	-0.0797067	0.143654635	-0.4042863	0.154712814	0.149519521	0.163498732	-0.346004484	-0.349272198	-0.158735324
Sbds	-0.628563807	0.471447616	-0.184637712	0.157561176	-0.014616156	-0.150545105	0.703898038	-0.643315281	-0.523545726
Rabgef1	0.19761381	0.564231818	NA	NA	0.290896181	0.531069493	NA	0.076011739	0.757450016
Bloc1s1	NA	NA	NA	0.040682059	NA	NA	-2.19588034	0.057692867	-0.414614371
Rps26	-1.816951839	NA	NA	NA	-0.098922658	-0.561856217	NA	1.321408631	1.025808419
Pa2g4	0.023184369	0.830985412	0.585347168	0.228603232	0.173255383	-0.118413684	2.75527217	3.701216345	3.839959587
Esyt1	0.058939855	-0.506988084	0.523461591	0.311619363	0.344487663	-0.158332757	NA	-0.20826093	0.003746139
Myl6b	NA	NA	NA	NA	-0.224115065	NA	NA	NA	NA
Smarcc2	0.154971988	1.402994975	1.024319679	0.685984987	0.333080194	0.23572706	NA	1.733918292	1.41213115
Chmp6	NA	NA	NA	-0.124188489	NA	NA	0.392097567	0.313942357	NA
Baiap2	NA	0.73430859	0.459011864	0.705225957	0.120484657	0.048654702	NA	0.975776906	0.763411574
Cnpy2	0.32308179	NA	NA	0.153545952	0.39330636	0.187387707	NA	1.255984068	1.122672719
Atp5b	-0.099494454	0.694389927	0.497126915	0.112366523	0.873655733	0.286762889	0.40315863	0.51530876	-0.490861584
Dctn2	0.336054824	0.695102986	0.945832405	-0.269233984	0.036608829	-0.014047887	-2.197864699	-3.698079957	-3.896877056
Hdhd2	0.038997979	-0.0969463	-0.684016498	-0.249444944	-0.168592927	-0.072406904	-1.473129914	-2.734947234	-2.187838614
Atp5a1	-0.839363733	0.547054922	0.30439422	0.599413018	-0.148640726	0.154323965	1.177598929	0.227124934	0.247927513
Avil	0.203514411	0.025170576	-0.429109667	-0.131945441	-0.023504383	-0.301301444	-0.933352788	-0.961479535	-1.029558603
Clns1a	NA	0.085152681	-0.168382143	NA	NA	0.126972856	-0.681700514	NA	NA
Paox	0.09328973	-0.008812875	NA	NA	NA	NA	NA	NA	NA
Echs1	-0.173254252	-1.02905802	0.032241931	-1.688171414	1.02112434	0.376290383	-1.165434396	-1.428371726	-2.798667254
Fuom	NA	-0.025896584	-0.436295165	NA	NA	-0.165580022	NA	NA	-1.03842112
Tubgcp2	NA	NA	NA	NA	-0.170215373	-0.070360474	NA	NA	NA
Dpysl4	-0.676526164	-0.528614817	-0.861500049	NA	-0.157688883	-0.01435385	-1.211564852	-0.026587097	1.216547989
Ric8	-0.308948303	0.14912927	-0.374467651	NA	-0.011849777	0.097206246	-0.821763415	-0.545445054	-0.24500991
Psmd13	0.09936254	0.477055566	0.452595435	0.494671612	-1.042962054	0.052137623	-0.617587282	-0.396935117	-0.267166425
Ifitm3	NA	0.414135533	0.14208663	0.072860402	NA	0.309991039	-0.833233146	0.313245852	0.568226722
Hras	NA	NA	NA	NA	-0.127415485	NA	NA	0.213751646	-0.293429665
Taldo1	0.080794082	0.179001399	-0.059660324	0.060462488	0.87428549	0.118492626	-2.256907325	-3.224856724	-2.362974091
Eps8l2	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chid1	-1.09511133	NA	NA	0.598365205	2.170309669	NA	NA	NA	NA
Chm	0.450591032	NA	-0.078533201	NA	1.233397264	-0.048531564	NA	NA	-0.545887292
Eif4a3	-0.10820755	0.358846331	0.177471364	NA	0.196103398	-0.125651549	1.663800016	2.458093226	1.710040466
Cct8	-0.257752282	0.568226722	0.009347172	0.028286243	0.030265443	0.265196827	0.586596629	1.226631832	1.122142584
Hprt	0.473007568	-0.190437384	-0.177783808	0.181166174	-0.160040413	-0.109607786	-1.159492454	-0.603423987	-0.28781805
Uqcrc1	NA	NA	NA	NA	0.457121458	0.128821281	NA	NA	NA
0610011F06Rik	NA	-0.633277734	NA	NA	NA	NA	NA	NA	NA
Prps2	-0.217926985	0.310689118	-0.116989233	-0.262071007	0.081475982	0.290306435	-2.418889825	NA	NA
Hadhb	NA	NA	NA	0.810319703	0.252173413	0.05088474	NA	3.745882689	0.813688856
Itih5	-1.273970987	-0.915228172	-0.601671522	0.680954414	-0.6088922	-0.008711271	-0.10766338	-0.725231434	-0.546498224
Atp5c1	-0.890171435	-0.167506908	0.696439021	0.091665988	1.039980598	0.301470587	NA	NA	NA
Clec3b	0.067914014	0.627700213	0.603311811	0.160403926	-0.58716429	0.314986485	0.273933569	-0.503220666	-0.285987531
Hgs	0.129480859	0.09423607	-0.084456154	-0.039903514	-0.13799701	0.080521232	-1.109203134	-0.400701252	-0.193733693
Nrp1	NA	0.767315799	NA	NA	NA	NA	NA	NA	NA
Nudt5	0.983239895	0.544188607	0.106750315	NA	-0.336919576	-0.60702321	-0.949170969	-0.327294067	-0.735499599
Iscu	NA	NA	-0.374224539	NA	-0.070451365	-0.021086863	NA	NA	-0.007434576
Get4	-0.179383954	-0.495186414	-0.098351089	-0.046801821	-0.482815029	0.075190314	NA	NA	NA
4833439L19Rik	-0.158638697	NA	0.118359726	NA	NA	NA	NA	NA	NA
Casp1	NA	NA	NA	NA	NA	NA	NA	NA	NA
Lypla1	-0.060126518	-0.056296172	-0.653264317	NA	0.110363243	0.075874867	-1.705617453	-0.978861443	-1.052954813
Cops5	0.028144768	0.308477377	0.160145725	-0.458346399	0.033088169	0.229587923	-3.029381907	-1.500421953	2.466235562
Prex2	-1.248621978	NA	0.259905175	NA	NA	NA	NA	NA	NA
Gsta3	NA	-0.389980347	-0.250371343	NA	NA	NA	NA	NA	NA
Lactb2	0.069839625	-0.235772758	-0.555969089	0.480782124	0.837620365	0.186880831	-1.832847636	-1.489321585	-1.508280279
Nrp2	0.226631832	0.788852728	NA	NA	NA	0.049630768	NA	NA	NA
Rftn2	NA	NA	NA	NA	NA	NA	NA	NA	0.18027519
Hspd1	-0.071284798	0.925999419	0.786345437	NA	1.038576651	-0.008464549	0.938925593	2.194370771	2.130271955
Sf3b1	-0.701154029	-0.893383671	-0.418812677	NA	NA	NA	NA	-0.151938975	0.112233058
Lancl1	-0.093278691	-0.480397712	-0.242515848	-0.224654416	1.704030885	0.162338958	-0.45703873	-0.249856604	-0.233243723
Myl1	NA	NA	NA	NA	NA	NA	NA	-0.172376057	0.571337027
Acadl	NA	NA	NA	0.326537348	0.310107409	-0.296527154	2.35131737	2.266576679	1.644040843
Rpe	-0.052401164	-0.141748401	-0.328054505	NA	NA	NA	-0.882624114	-0.889128996	-0.59542381
Casp8	NA	NA	NA	NA	NA	NA	NA	-0.299187449	-0.02236105
Ptp4a1	NA	NA	NA	NA	NA	0.196984664	NA	NA	NA
Pdcl3	0.4089292	0.624802765	0.149389449	-0.357492495	0.061845307	0.030124161	-0.059840768	0.76714627	1.645978275
Inpp1	0.909888285	0.114766793	-0.393387217	-0.484065565	-0.269894837	-0.287360202	-1.341756521	-0.659403551	-0.07105745
Inpp4a	NA	NA	NA	NA	-0.045282552	-0.294473218	NA	NA	NA
Smap1	0.146003451	0.29207495	0.442651611	NA	0.140647793	-0.041773501	0.836974394	0.843983844	0.469365054
Rnf25	NA	0.341302653	NA	NA	NA	-0.513646024	NA	-0.099293527	NA
Ppm1f	0.400756503	-0.154056387	-0.151762664	NA	-0.980568505	0.188147687	-1.73413108	-1.988733379	-1.40828229
Xrcc5	NA	0.333194716	NA	NA	-0.166972304	-0.054796847	NA	-0.357603402	-0.38624206
Atic	-0.056956369	1.040682059	-0.502729988	0.300299474	0.061845307	0.016068369	-0.480538611	2.908198046	-2.450478679
Zfand2b	0.499578047	1.012640181	0.378178655	NA	NA	0.071076162	NA	-0.916207968	-0.676134225
Des	0.55885537	0.005184376	NA	NA	3.042101474	-2.387902325	NA	-1.112817898	-1.723038888
Psmd1	0.185105363	0.139600465	0.365356597	-0.268556054	-0.119886573	0.333194716	-0.143468398	1.480265122	2.781947164
Ncl	-0.584565814	-0.286990508	-0.048650934	0.108758614	0.01649632	-0.11575376	0.859651564	0.877116001	0.526870086
Pde6d	0.070251922	0.104873377	-0.055201512	NA	-0.613122851	NA	-0.685616696	NA	NA
Cops7b	0.115699153	-0.384527201	-0.11775607	NA	NA	NA	-0.989105609	-1.852719355	NA
Serpine2	NA	NA	NA	0.814919509	-0.023592369	0.074916402	2.886803743	2.972269892	3.123020514
Efhd1	0.133037379	NA	NA	NA	NA	-0.06056277	0.204265945	-0.295181142	-0.104108011
Ndufa10	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ppp1r7	0.393965276	0.053667449	-0.045535652	-0.155984007	-0.276624927	-0.128361339	-0.016935262	2.052520232	-2.030855037
2-Sep	0.576763978	0.802482761	1.125717218	-0.490983233	0.164013889	NA	1.616498854	2.09528308	1.838911439
Atg4b	0.052555009	0.011066201	-0.187329278	NA	0.597888675	0.200002066	-0.765155367	-1.219169197	NA
Atg16l1	NA	NA	NA	NA	NA	NA	NA	-2.204100091	NA
Scly	NA	NA	NA	NA	0.493647334	-0.4536957	NA	NA	NA
Ilkap	NA	NA	NA	NA	0.035905384	NA	NA	NA	NA
Actr3	0.067638717	0.255561159	0.195977459	-0.141573331	0.048375705	-0.084043202	2.99579202	-4.631359027	-3.83747026
Dars	-0.408263144	-0.13246722	-0.016176402	0.088820033	-0.487520253	0.219586745	-0.002743728	-0.270956314	0.165815488
Tsn	-0.329540325	-0.701224397	-0.557008747	0.324925784	-0.252672759	0.445938537	-0.969000117	-0.369165884	0.177598929
Dbi	-0.201426849	-0.068059814	-0.842542302	NA	0.741747408	-1.278373606	-2.953774384	-2.074304339	-2.411502422
Cd55	NA	-0.496427372	NA	NA	NA	NA	NA	NA	0.444455046
C4bp	-0.116488661	1.098689044	0.816640663	0.536251879	0.312665174	-0.066246092	0.623024029	1.010923027	1.021763974
Csrp1	-0.333425176	-0.374991417	-0.313100616	-0.286339373	0.313245852	-0.283228544	-1.558304063	-0.441125043	-0.875274848
Arl8a	-0.585150063	-0.308573036	-0.191491383	0.583230227	0.166715445	0.453965265	-1.401063166	-0.418812677	-0.386015808
Rassf5	NA	NA	NA	NA	0.289598422	-0.688241151	NA	NA	NA
Srp9	0.218471211	0.269152867	0.61060558	NA	0.454807592	NA	NA	NA	NA
Fh1	0.152897287	0.218223197	-0.152387863	-0.020969753	0.288417627	-0.221774599	-2.01100636	4.807612523	-0.097193197
Pou2f1	NA	NA	NA	NA	-0.043036371	-0.000707094	NA	1.928199748	1.467018572
Dpt	0.757706017	1.344203572	1.050327554	0.322505058	NA	NA	NA	NA	NA
Atp1b1	NA	0.731791479	0.980317832	0.373843063	0.842455949	0.657091174	2.015782997	1.855032897	1.37856711
Kifap3	NA	NA	NA	NA	-0.078868389	-0.682695932	NA	-0.346884937	NA
Bpnt1	0.273217473	0.04851521	-0.206228941	-0.040838204	1.063157759	0.095451881	-2.054751892	-2.877261028	-2.025323856
Mark1	NA	NA	NA	NA	NA	NA	NA	NA	NA
Hspa14	-0.623998629	0.762391341	1.044883678	NA	NA	-0.043095827	-0.427983487	0.079429315	0.229710962
Fam107b	0.039278795	NA	0.045163352	NA	0.54428754	-0.552896932	NA	0.512580879	NA
Sephs1	-0.233379398	0.379620962	-0.023343089	-0.057406676	NA	0.291603558	-0.718307684	-0.541996044	0.212756083
Uap1	0.367259224	0.592062298	0.021621858	NA	NA	NA	NA	-1.056401183	-0.698623067
Optn	0.45785691	0.547351112	0.124063396	NA	0.2083924	-0.429187367	NA	-0.901742158	-0.563390387
Hsd17b7	NA	NA	NA	0.167871708	-0.062956986	-0.10241879	0.923415441	1.639232163	NA
Aldh9a1	-0.125557113	-0.032447709	-0.333297936	NA	0.320195821	-0.002989474	-2.595358417	-4.353284339	-1.884593809
Mrc1	0.063502942	0.09963185	-0.28655052	NA	NA	NA	NA	-0.50440716	-0.574820023
Stam	0.095451881	0.765195249	0.169283661	0.025454096	-0.024384487	0.167357928	-1.007492583	-2.007927711	-1.978804575
Rsu1	0.157431827	0.911269736	0.601506363	0.417163907	0.160016608	-0.615331238	1.297837036	-0.497323152	-0.194228789
Nebl	0.105275783	0.566766455	0.360982241	-0.045982409	0.160016608	-0.096545183	-0.058337757	1.530270548	3.36960607
Plxdc2	0.317535622	0.150689643	-0.194476401	-0.193205777	-0.019345829	-0.165029955	-0.047353325	0.234133396	0.069702167
Psmb7	0.045722536	0.226261894	0.257855464	0.177343788	-0.033244704	-0.077025818	-1.005145158	-3.403633463	0.507008078
Ppp6c	0.381726359	-0.05325417	-0.023548375	-0.108580813	-0.11108729	0.140647793	-0.0781524	1.799957635	0.904580435
Kif5c	0.284158746	-0.678164241	0.003602237	NA	0.897782545	-0.711700505	NA	4.303415463	-1.694134512
Fam188a	-0.013596347	0.455649427	-0.652039599	NA	NA	NA	NA	-1.539309851	-1.229585326
Lrsam1	0.220577607	-0.016701724	-0.183490401	-0.427672971	0.095856924	-0.033318523	-1.21209953	-0.348665827	-0.337211159
Fam129b	0.073408955	0.322389683	0.254835883	-0.209878572	0.11516645	0.063640993	0.494159564	0.525367331	0.454070583
Lamc3	NA	NA	NA	0.056028539	-0.110557609	-0.289157207	3.211790976	2.89528323	3.079480517
Crat	0.38901606	NA	NA	0.82317869	NA	0.320195821	NA	3.256980436	4.528071165
Hspa5	0.194087052	0.66766509	0.63691458	0.079156207	0.502126889	0.299947954	0.327572404	0.627886946	0.420617139
Gapvd1	-0.038213706	0.04558276	-0.535959128	NA	NA	NA	NA	NA	NA
Psmd5	0.208017755	0.014212445	-0.238408346	0.034356597	0.481092237	0.095046725	-1.99734788	-2.235212254	-2.0195213
Zeb2	-0.126155311	0.557973676	0.238053099	NA	NA	NA	NA	NA	NA
Hc	0.839234028	-0.274791092	-0.047949781	NA	NA	NA	NA	NA	NA
Rab14	0.367035516	0.095586908	0.326537348	-0.488046253	-0.062836427	0.225151512	-0.283983665	-0.414979793	-0.273378011
Gsn	-0.341098474	-0.526659861	-0.693271133	-0.210562864	-0.013392471	-0.160104892	-1.877950209	-1.43225987	-1.417039425
Stom	NA	NA	NA	NA	2.569904204	NA	NA	NA	NA
Gca	-0.128314032	-0.812992433	-0.384263558	NA	NA	NA	-1.633792506	-0.707783662	NA
Psmd14	0.308943288	0.435415241	0.404140166	-0.359638207	-0.01435385	0.212756083	-1.964939203	-2.200979026	2.24272444
Col5a1	-0.127557324	0.906967537	0.138814469	NA	NA	NA	NA	NA	0.326077085
Traf2	NA	NA	NA	NA	NA	NA	NA	-1.936994148	NA
Entpd2	-0.738818242	-1.190536163	-0.153270015	-0.148177015	0.024177814	0.08841301	-1.089881382	-2.579835627	-2.349823666
Arrdc1	NA	NA	NA	NA	0.890563427	NA	NA	NA	NA
Nup35	NA	NA	1.023397308	NA	0.138290234	0.088005871	NA	2.951121492	1.859214221
Nckap1	-0.673600715	-0.694718169	-0.325629746	-0.164172917	0.881742918	-1.293182153	-2.205629885	-1.473730828	0.096126889
Frzb	-0.641243672	NA	-0.06617057	0.095451881	-1.988160903	0.310689118	NA	-0.971261129	-1.781553589
Itgav	0.106214296	0.279174108	0.179128829	0.655626601	0.042504263	-0.132071916	NA	-0.254323794	0.415217825
Ola1	0.053250385	-0.277429056	-0.228993402	0.051163253	0.113167057	-0.063469472	-1.16058858	0.765959006	2.428490826
Itga6	-0.208144263	0.292192774	0.541316585	0.353097411	-0.05335896	-0.377744314	1.913186225	0.064606975	-0.551902531
Rapgef4	NA	NA	NA	NA	0.36927104	0.688314661	NA	NA	NA
Lin7c	-0.223424317	0.440208075	NA	NA	-0.251916665	-0.00904514	0.997545331	0.877351626	0.590051039
Commd9	NA	-0.199040065	NA	NA	NA	NA	-0.889770408	-1.112225204	NA
Eif3m	-0.007391072	-0.035771433	-0.003148508	-0.023885695	0.625270489	0.305095011	-2.041506212	-0.483198143	-2.451740949
Tcp11l1	0.318692833	0.031254025	-0.093956034	NA	NA	0.209266193	-0.770879722	0.021337583	0.380064459
Cstf3	NA	NA	NA	NA	-0.4345588	0.663025756	NA	NA	NA
Fbxo3	NA	NA	NA	NA	NA	NA	NA	NA	NA
Caprin1	0.621336886	0.392866916	0.751378022	-0.278933631	0.249506021	0.138683428	1.084268405	0.710349106	0.484395963
Cat	0.069014678	0.209890007	0.252900029	-0.090050289	0.237196574	0.153286521	1.167293692	0.805787717	0.561399461
Api5	-0.131787364	0.891341411	0.497433534	0.060462488	-0.166146486	0.38703161	1.468114072	1.110964519	1.370833848
Hsd17b12	NA	NA	NA	NA	NA	NA	1.680594415	-0.127699176	NA
Gatm	NA	NA	NA	NA	-0.155421518	0.462575888	NA	NA	NA
Fbn2	-0.09514215	-0.041907164	-0.338487525	NA	NA	NA	NA	NA	-2.554781825
Cops2	-0.190980756	-0.255132803	-0.314624934	-0.036067246	0.036186803	0.129612738	-2.747390574	-1.695021764	-1.811826987
Cd82	0.045442971	0.287590496	0.461109415	0.086919607	-0.102000665	0.117030053	1.146264195	1.860843644	1.513894947
Eif3j1	0.097610797	0.651591345	0.327802315	-0.308805333	0.172231469	0.263154625	-1.085435477	-0.851599482	-4.004971427
Mdk	NA	NA	NA	NA	-0.410121485	-0.395776822	NA	NA	2.060358723
F2	1.445038028	0.847355566	0.563646269	NA	0.385817545	NA	NA	-1.972845948	-0.753166312
Pdia3	0.068877141	0.566474224	0.350044566	0.133432007	0.5452765	0.341188772	0.798755614	1.001153695	0.662661255
Arfgap2	-0.476699007	-0.291592017	0.341302653	NA	0.075327251	0.225891862	NA	-0.317390748	0.232415171
Pacsin3	-0.323642313	0.951513196	0.256406854	1.316667104	1.402394751	0.162854528	0.870502817	0.821057079	1.16998912
Snap25	0.997473072	0.242572021	1.273217473	NA	0.791022195	NA	NA	-1.502423399	0.684818738
Ubr1	0.034919984	0.065848003	-0.466177538	NA	NA	NA	NA	NA	NA
Snap23	NA	-0.344428349	NA	NA	NA	NA	NA	NA	NA
Vps39	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ehd4	-0.769182158	-0.098768158	-0.316150864	0.184216808	0.409146506	0.302991616	0.085288675	1.205642742	1.919759576
Spint1	NA	NA	NA	0.70893764	0.398131432	1.027366405	NA	NA	NA
Ivd	NA	NA	NA	NA	0.29172142	-0.199619823	NA	2.19181529	NA
Rassf2	NA	NA	-0.406579295	NA	NA	NA	NA	NA	NA
Pcna	0.775092694	0.946431437	0.171078696	-0.003264181	0.148088083	-0.101164777	-1.098412869	-0.827461281	-0.462435549
Fam98b	NA	NA	NA	NA	0.054501216	0.751635103	NA	2.032841401	0.898169648
Usp8	-0.621821345	-1.280579964	NA	NA	0.012783185	0.018064389	NA	-0.075930527	0.719665354
Idh3b	NA	NA	NA	NA	2.72226928	0	NA	NA	NA
Snx5	-0.029823688	-0.154923497	-0.099278072	0.9053509	0.384270893	0.047538389	-2.269720899	0.388465097	-1.781156849
Rbbp9	-0.532219707	-0.589224741	-1.043080963	NA	0.288417627	-0.302582006	-1.064253628	-0.969508536	-0.910040911
Sec23b	-0.278706095	NA	NA	NA	-0.173953938	0.394075066	NA	0.057831475	-0.020955115
Dtd1	-0.03773973	0.464772806	0.205517633	-0.006419829	0.08120326	-0.079462777	-0.120874565	3.13093087	2.428973136
Napb	-0.039458636	0.645978275	-0.028572326	-0.239276593	-0.358195049	-0.152435967	0.687777377	2.391190306	-1.226847603
Cst3	0.453122447	-0.605463908	0.008343459	-0.121470823	0.129217064	-0.404190837	-0.210729814	0.420940456	0.071625394
Nsfl1c	0.035483152	0.434348001	0.00662118	-0.3384328	-0.17349829	0.061568849	-0.359194004	2.497178023	4.392248721
Rbck1	NA	-1.954053851	NA	NA	NA	NA	NA	-0.287853275	NA
Mapre1	0.257252053	0.444349024	0.156267163	0.471239495	-1.048591248	-0.53105182	0.1728715	0.028427705	0.005902957
Stmn2	1.516872438	1.087394948	0.385817545	0.175428791	0.081339627	0.129876461	-1.316312527	-0.17700071	-0.53518538
Rtfdc1	NA	NA	NA	NA	NA	NA	NA	NA	-1.669923535
Rae1	-0.683576175	NA	0.47019844	NA	0.029558897	0.196858801	0.051859299	-0.40575722	0.271784214
Rab22a	NA	NA	NA	NA	NA	NA	NA	-0.13019175	0.210139457
Pmp2	0.012211084	0.280124892	0.452911665	-0.08505285	-0.06843796	-0.176544099	0.254231207	1.048445459	0.457331625
Fabp4	1.260266587	0.113167057	0.033511102	NA	0.980171574	NA	-0.707430254	-3.262711278	-5.289573303
Fabp5	0.180529813	-0.28084285	-0.433311468	0.196103398	-0.059028948	0.00028851	-1.821228003	-1.496345965	-1.763905421
Snx16	-1.562900127	NA	-0.323678424	NA	NA	NA	NA	-0.641243672	-0.362287751
Car3	1.626766188	0.245130531	0.403485883	-0.294862533	0.722815726	-1.668226003	-2.75837944	-0.283649958	-0.447406516
Car2	0.894604374	-0.747148401	-0.1285979	0.156526059	-0.372430514	-1.151586375	0.374955996	0.847195187	0.225398337
Psma7	0.183454754	0.21263159	0.294900072	0.155360663	-0.158703114	0.04851521	-0.999192317	-4.442222329	-4.283267168
Ogfr	0.597411988	0.091259766	-0.005246511	NA	0.012640181	-0.085512014	NA	-0.589246446	-0.455020117
Gid8	NA	NA	NA	NA	NA	-0.830023704	NA	NA	-2.042932328
Arfgap1	NA	NA	NA	NA	NA	NA	NA	NA	NA
Armc1	0.1728715	0.33330923	0.033511102	NA	-2.323588149	0.668663778	NA	-0.707877919	-0.170442661
Map1lc3a	NA	NA	NA	NA	NA	-0.255873357	NA	0.804466643	0.916553077
Acss2	-0.317624469	-0.711157175	-0.678926233	NA	NA	1.380341575	-1.142448893	-1.37909459	-0.960693126
Eif6	0.201131967	-0.070405919	-0.06818081	0.032665112	-0.048964324	NA	-1.499646629	-0.426722432	-0.365406732
Rbm39	NA	0.984188293	NA	NA	NA	NA	NA	NA	NA
Rpn2	NA	0.972766165	NA	NA	NA	NA	NA	NA	NA
